Year,Amphibians,Birds,Mammals,Plants,All
1985,1,1,1,1,1
1986,0.91,0.98,1.28,0.96,1.04
1987,0.68,1.02,1.41,0.91,1.02
1988,0.55,1.04,1.3,0.87,0.95
1989,0.46,1.05,1.2,0.84,0.9
1990,0.39,1.01,1.24,0.82,0.87
1991,0.21,1,1.19,0.83,0.76
1992,0.2,0.99,1.16,0.87,0.76
1993,0.19,0.95,1.15,0.89,0.74
1994,0.13,0.94,1.13,0.94,0.71
1995,0.12,0.94,1.09,0.99,0.72
1996,0.1,0.91,0.96,0.93,0.65
1997,0.09,0.9,1.06,0.95,0.66
1998,0.07,0.9,1.11,0.99,0.67
1999,0.08,0.87,1.09,0.95,0.65
2000,0.08,0.83,0.99,0.97,0.63
2001,0.06,0.8,0.86,0.87,0.57
2002,0.05,0.73,0.82,0.81,0.52
2003,0.05,0.7,0.72,0.83,0.5
2004,0.05,0.67,0.68,0.78,0.47
2005,0.05,0.68,0.64,0.76,0.46
2006,0.04,0.62,0.66,0.67,0.43
2007,0.04,0.61,0.7,0.63,0.42
2008,0.04,0.6,0.64,0.59,0.4
2009,0.05,0.59,0.62,0.56,0.4
2010,0.05,0.57,0.64,0.54,0.39
2011,0.05,0.56,0.63,0.49,0.37
2012,0.04,0.53,0.64,0.45,0.35
2013,0.04,0.5,0.63,0.44,0.34
2014,0.03,0.46,0.59,0.4,0.31
2015,0.03,0.45,0.62,0.38,0.31
2016,0.03,0.46,0.61,0.34,0.3
2017,0.03,0.43,0.62,0.29,0.27
2018,0.03,0.43,0.6,0.3,0.27
2019,0.02,0.4,0.59,0.3,0.26
2020,0.03,0.4,0.56,0.3,0.26
2021,0.03,0.41,0.55,0.32,0.27
